,SKU,code,brands,quantity,status,user_ID,frequency_in_weeks,starts,next_delivery,last_edit,creation_date
56,DipDN1178,51,Diamond Naturals - Diamond,1,paused,333,6,2022-07-20,2023-05-10,2022-07-20,2022-03-21
57,PugFF493,52,Purina - Fancy Feast,10,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
58,no_SKU,52,,10,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
59,PugFF499,52,Purina - Fancy Feast,2,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
60,no_SKU,52,,5,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
61,NupNS5333,52,NutriSource,1,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
62,NupNS5335,52,NutriSource,1,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
63,NupNS5336,52,NutriSource,1,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
64,NupNS5337,52,NutriSource,1,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
65,no_SKU,52,,5,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
66,no_SKU,52,,7,paused,153,8,2022-07-06,2023-06-07,2022-08-24,2022-03-23
67,PupCH16,53,Purina - Dog Chow,1,paused,353,10,2022-03-29,2023-05-23,2022-06-06,2022-03-29
68,PupPP1410,53,Purina - Purina Pro Plan,1,paused,353,10,2022-03-29,2023-05-23,2022-06-06,2022-03-29
69,ScpSD11490,54,Hills Prescription Diet - Hills,1,active,213,6,2023-04-24,2023-06-05,2023-03-20,2022-03-30
70,1sgFC3787,55,1st Choice,1,active,65,10,2023-04-13,2023-06-22,2023-03-28,2022-03-31
71,1sgFC2781,55,1st Choice,1,active,65,10,2023-04-13,2023-06-22,2023-03-28,2022-03-31
72,PugCH219,56,Purina - Cat Chow,1,paused,374,6,2022-06-21,2023-05-23,2022-06-20,2022-04-01
73,BapBA1352,56,Balance,1,paused,374,6,2022-06-21,2023-05-23,2022-06-20,2022-04-01
74,NupNS5332,57,NutriSource,2,active,382,6,2023-01-11,2023-05-17,2023-01-02,2022-04-04
75,NupNS5333,57,NutriSource,2,active,382,6,2023-01-11,2023-05-17,2023-01-02,2022-04-04
76,DipDN1160,57,Diamond Naturals - Diamond,1,active,382,6,2023-01-11,2023-05-17,2023-01-02,2022-04-04
77,TIpTTT2210,57,Titi Treats,2,active,382,6,2023-01-11,2023-05-17,2023-01-02,2022-04-04
78,ArpAT11032,58,Artri-Tabs,1,active,382,4,2023-05-03,2023-05-31,2023-04-25,2022-04-05
79,1spFC3798,59,1st Choice,1,paused,351,2,2022-05-14,2023-05-13,2022-07-18,2022-04-08
80,NupNS2296,60,NutriSource,1,paused,401,5,2022-04-11,2023-06-05,2022-06-17,2022-04-11
81,NupNS1323,61,NutriSource,1,paused,246,12,2022-04-12,2023-06-06,2022-11-25,2022-04-12
82,BapBA1352,61,Balance,1,paused,246,12,2022-04-12,2023-06-06,2022-11-25,2022-04-12
83,1sgFC3783,62,1st Choice,1,paused,301,11,2022-04-16,2023-07-22,2022-07-02,2022-04-16
84,BapBA2387,63,Balance,1,paused,419,10,2022-04-16,2023-06-10,2022-04-21,2022-04-16
85,DipDN1166,64,Diamond Naturals - Diamond,1,paused,420,12,2022-05-28,2023-07-22,2022-05-05,2022-04-18
86,DipDN1177,65,Diamond Naturals - Diamond,1,paused,263,12,2022-04-18,2023-06-12,2022-04-18,2022-04-18
