Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
Repagro,perro,Alimento,MasQPets,MapQP1752,Pork Bone - Unica,2.0,NA,NA,0,1,0,3,1,6,2,3,10,9,13,9,6,65,9.4,11.75,5,6.666666666666667,0.6,2,0,0,4.1125,4.0,0.0,CA,NA,4.0
VETIM SA,gato,Alimento,Prescription Diet,ScgSD31496,"c/d® Multicare Feline Stress - 1.81, kg",NA,NA,NA,1,1,0,2,0,1,4,4,0,1,2,1,5,22,1.8,2.25,2,2.6666666666666665,1.5,3,0,3,0.7875,4.0,0.0,BB,NA,4.0
Natural pets,perro,Alimento,Natural Pets,NapNPA2114,Búfalo (BARF) - 500 Grs - 5Pack,0.0,0.0,0.0,0,0,0,0,1,3,4,5,5,2,4,0,0,24,2.2,2.75,4,1.3333333333333333,1.5,0,0,0,0.9624999999999999,2.0,0.0,CB,NA,2.0
Nestle,perro,Alimento,Dog Chow,PupCH691,"Alimento Húmedo Adultos Carne - 100, g",0.0,0.0,0.0,0,0,1,0,0,4,6,3,21,15,32,24,41,147,26.6,33.25,21,28.666666666666668,0.41860465116279066,13,8,5,19.6375,12.0,0.0,CA,NA,12.0
nan,nan,nan,nan,PugFF4103,NA,NA,NA,NA,5,0,5,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0,0.0,NA,0,0,0,0.0,12.0,0.0, ,NA,12.0
VETIM SA,gato,Alimento,Prescription Diet,ScgSD41493,"Feline C/D - 156, g",0.0,0.0,0.0,0,0,0,1,1,4,5,6,4,3,10,10,11,55,7.6,9.5,18,13.0,1.3076923076923077,3,0,1,3.3249999999999997,17.0,0.0,CA,NA,17.0
Mundo Pet,perro,Alimento,Monge Vet Solution,MopMVW2195,"Gastrointestinal Canino - 150, g",0.0,0.0,0.0,0,0,0,0,0,0,6,7,11,10,9,0,2,45,6.4,8.0,11,4.333333333333333,3.0,0,0,0,2.8,13.0,0.0,CA,NA,13.0
nan,nan,nan,nan,PugFX6112,NA,NA,3.0,NA,3,0,0,2,0,4,3,0,0,0,0,0,0,15,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
Nestle,perro,Alimento,Pro Plan,PupPP3430,"Pro Plan Adulto Raza Mediana - 3, kg",NA,NA,NA,2,3,2,0,2,4,1,2,1,0,3,0,2,22,1.2,1.5,2,1.3333333333333333,0.75,0,0,0,0.5249999999999999,1.0,0.0,BB,NA,1.0
Yanyunis,perro,Alimento,Diamond Naturals,DipDN2159,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 6.8, kg",NA,2.0,NA,0,2,1,1,1,2,1,2,1,2,0,2,1,18,1.2,1.5,3,2.0,1.0,0,0,0,0.5249999999999999,2.0,0.0,BB,NA,2.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1786,Mr. X - Unica,0.0,0.0,0.0,2,0,2,1,1,2,0,1,0,1,0,0,0,10,0.2,0.25,1,0.3333333333333333,3.0,0,0,0,0.0875,1.0,0.0,CC,1.0,2.0
Nestle,perro,Alimento,Dog Chow,PupCH466,"Alimento Húmedo Adultos Estofado Con Carne y Vegetales - 374, g",0.0,0.0,0.0,0,0,1,0,0,3,1,3,6,6,5,9,1,35,5.4,6.75,1,3.6666666666666665,1.090909090909091,3,0,3,2.3625,4.0,0.0,DB,NA,4.0
BELINA,perro,Alimento,Balance,BapBA1360,"Adulto Raza Pequeña - 14.97, kg",NA,NA,2.0,0,0,0,1,0,1,1,2,0,1,3,2,1,14,1.4,1.75,1,1.3333333333333333,1.5,2,1,1,1.6124999999999998,2.0,0.0,BC,0.0,2.0
BELINA,perro,Alimento,NutriSource,NupNS2300,"Trout And Rice (Trucha y Arroz) - 6.8, kg",NA,NA,NA,1,2,0,1,1,0,2,1,1,0,0,0,0,9,0.2,0.25,1,0.3333333333333333,0.0,0,0,0,0.0875,0.0,0.0,CC,2.0,2.0
nan,nan,nan,nan,PACK2M,NA,1.0,NA,NA,0,1,2,0,2,0,6,0,0,0,0,0,0,12,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Yanyunis,perro,Alimento,Diamond Naturals,DipDN1164,"Lamb And Rice - 18.1, kg",NA,1.0,NA,1,2,1,1,1,4,2,1,3,1,3,0,2,23,1.8,2.25,1,1.0,5.0,2,1,0,1.7875,5.0,0.0,AB,NA,5.0
