Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
Mundo Pet,perro,Higiene,MPets,MPpMP11712,"Dispensador Bolsas Bamboo - 15, Bolsas",0.0,0.0,0.0,1,0,0,1,1,0,0,1,2,0,0,1,3,10,1.2,1.5,0,1.3333333333333333,0.0,0,0,0,0.5249999999999999,0.0,0.0,DC,NA,0.0
Yanyunis,perro,Alimento,PREY,TapPR3153,"Prey Angus Beef (Carne de Res Angus) - 3.63, kg",0.0,0.0,0.0,0,0,1,1,2,1,0,0,0,0,0,0,0,5,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0,CD,NA,0.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW2116,"Wetlands (Pato) - 6.4, kg",0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,2,1,5,0.6,0.75,0,1.0,3.0,1,1,0,1.2625,3.0,0.0,CD,NA,3.0
nan,nan,nan,nan,WHgWK6240,NA,NA,2.0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
VETIM SA,perro,Alimento,Prescription Diet,ScpSD11472,"r/d® Canine - 12.5, kg",0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,1,1,2,1,8,1.2,1.5,1,1.3333333333333333,3.0,1,1,0,1.525,4.0,0.0,BC,NA,4.0
Repagro,perro,Alimento,PEDIGREE,PEpPg3210,"Adulto Raza Pequeña - 4, kg",0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0,DD,NA,1.0
BELINA,perro,Alimento,NutriSource,NupNS4319,"Alimento En Lata de Pollo - 368, g",0.0,0.0,0.0,0,0,0,2,0,1,1,0,8,0,0,0,0,12,1.6,2.0,0,0.0,NA,0,0,0,0.7,6.0,0.0,DC,0.0,6.0
OKAP,perro,Accesorios,OKAP,OKpOK1954,Tubo - L,NA,NA,NA,1,1,1,0,0,1,1,1,0,1,0,0,0,7,0.2,0.25,0,0.0,NA,0,0,0,0.0875,1.0,0.0,DC,NA,1.0
Woof & Miau,perro,Accesorios,Nomnomz,ZipZP3595,NomNomz® - Taco - Unica,NA,NA,1.0,2,0,0,0,1,0,0,0,0,1,0,0,1,6,0.4,0.5,0,0.3333333333333333,0.0,0,0,0,0.175,0.0,0.0,DD,NA,0.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1779,Super Banana - Unica,0.0,0.0,0.0,1,0,2,0,0,0,2,0,1,0,2,0,0,8,0.6,0.75,0,0.0,NA,0,0,0,0.26249999999999996,2.0,0.0,DC,0.0,2.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW1124,"Pacific Stream Puppy (Salmón Ahumado) - 12.7, kg",0.0,0.0,0.0,0,1,1,1,0,2,0,2,0,1,2,1,1,12,1.0,1.25,3,1.6666666666666667,3.0,4,2,1,2.4375,5.0,0.0,AC,NA,5.0
Herrera & Elizondo,perro,Farmacia,Merial,heMeHe79,12kg a 22kg - Tableta,0.0,0.0,0.0,0,0,1,2,0,1,1,1,4,6,7,3,5,31,5.0,6.25,3,3.6666666666666665,-0.27272727272727276,4,3,1,5.1875,-1.0,0.0,CB,NA,-1.0
Repagro,perro,Alimento,MasQPets,MapQP3736,"Bully Sticks - 5, Unidades",2.0,NA,NA,0,0,0,3,0,6,0,0,8,6,2,1,4,32,4.2,5.25,6,3.6666666666666665,3.0,3,1,2,2.8375,11.0,0.0,CB,NA,11.0
Yanyunis,perro,Alimento,Diamond Naturals,DipDN2168,"Senior Dog - 8.16, kg",NA,NA,NA,1,0,1,0,1,0,1,0,1,0,0,1,0,6,0.4,0.5,1,0.6666666666666666,0.0,0,0,0,0.175,0.0,0.0,CC,NA,0.0
Virbac,perro,Alimento,Virbac,VipVC11693,"Baby Large And Medium - 12, kg",0.0,0.0,0.0,0,0,0,1,0,1,2,2,1,2,0,2,0,11,1.0,1.25,0,0.6666666666666666,3.0,0,0,0,0.4375,2.0,0.0,AC,0.0,2.0
VETIM SA,perro,Alimento,Science Diet,ScpSD31518,"Puppy Original Chicken - 2.03, kg",0.0,0.0,0.0,0,1,1,1,0,0,1,1,2,1,2,2,2,14,1.8,2.25,0,1.3333333333333333,6.75,2,0,0,0.7875,9.0,0.0,CC,NA,9.0
Nestle,perro,Alimento,Dog Chow,PupCH687,"Alimento Húmedo Adultos Razas Pequeñas Salmón - 100, g",0.0,0.0,0.0,0,0,1,0,0,2,0,3,1,8,8,8,1,32,5.2,6.5,2,3.6666666666666665,0.0,1,1,0,3.275,0.0,0.0,DB,NA,0.0
nan,nan,nan,nan,EApPlacaHMo,NA,NA,NA,NA,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
BELINA,perro,Alimento,NutriSource,NupNS2292,"Senior (Pollo y Arroz) - 6.8, kg",0.0,0.0,0.0,0,0,0,1,3,0,0,1,0,2,2,1,2,12,1.4,1.75,1,1.3333333333333333,2.25,1,1,0,1.6124999999999998,3.0,0.0,BC,0.0,3.0
nan,nan,nan,nan,MPgMP911,"Plato Plástico Antideslizante - 200, ml",0.0,0.0,0.0,0,0,1,0,2,0,1,1,0,1,0,1,0,7,0.4,0.5,0,0.3333333333333333,6.0,0,0,0,0.175,2.0,0.0, ,NA,2.0
VETIM SA,gato,Alimento,Science Diet,ScgSD31584,"Adult Hairball Control - 3.18, kg",NA,NA,1.0,0,0,0,1,1,0,1,1,0,0,0,0,0,5,0.0,0.0,1,0.3333333333333333,3.0,0,0,0,0.0,1.0,0.0,CD,NA,1.0
Nestle,perro,Alimento,Dentalife,PupDL5461,"Perro Grande - 221, g",0.0,0.0,0.0,0,1,0,1,0,2,0,3,3,4,0,5,0,19,2.4,3.0,2,2.3333333333333335,1.7142857142857142,4,1,0,2.05,4.0,0.0,CB,NA,4.0
Nestle,perro,Alimento,Dentalife,PupDL5463,"Perro Mini - 193, g",NA,NA,1.0,0,0,0,1,1,2,2,0,1,2,0,3,2,15,1.6,2.0,3,2.6666666666666665,1.125,0,0,0,0.7,3.0,0.0,DC,NA,3.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW1127,"High Prairie (Bisonte Asado y Venado Asado) - 12.7, kg",0.0,0.0,0.0,0,1,0,0,0,0,2,2,1,0,3,2,2,13,1.6,2.0,1,1.6666666666666667,3.0,4,2,2,2.7,5.0,0.0,AC,NA,5.0
NA,0,NA,NA,PupDL5462,"Perro Pequeño/Mediano - 198, g",0.0,0.0,0.0,0,3,0,2,0,0,0,0,1,2,0,0,0,8,0.6,0.75,0,0.0,NA,0,0,0,0.26249999999999996,0.0,0.0,DD,NA,0.0
Yanyunis,gato,Alimento,Diamond Naturals,DigDN3197,"Indoor (Pollo y Arroz) - 2.27, kg",0.0,0.0,0.0,0,0,1,1,2,0,0,1,0,0,1,0,0,6,0.2,0.25,0,0.0,NA,0,0,0,0.0875,2.0,0.0,CC,NA,2.0
nan,nan,nan,nan,PupBE13,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0, ,NA,0.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1797,Dispensador Bolsas para Heces Transparente 2.0 - Unica,0.0,0.0,0.0,0,0,1,0,1,0,2,1,0,0,0,0,1,6,0.2,0.25,1,0.6666666666666666,0.0,0,0,0,0.0875,0.0,0.0,DD,2.0,2.0
Repagro,gato,Higiene,MasQPets,MagQP1757,"Arena Para Gato - 2, kg",0.0,0.0,0.0,0,0,0,3,0,0,1,1,0,0,1,2,2,10,1.0,1.25,0,1.3333333333333333,0.75,2,0,0,0.4375,1.0,0.0,DC,NA,1.0
Petgüel,perro,Alimento,Petgüel,PeAMi2135P,Caserola de Cerdo 500g - 2Pack,0.0,0.0,0.0,0,0,0,0,0,5,1,4,0,0,0,3,2,15,1.0,1.25,0,1.6666666666666667,0.0,0,0,0,0.4375,0.0,0.0,CC,NA,0.0
BELINA,perro,Alimento,NutriSource,NupNS3289,"Large Breed Puppy (Raza Grande Cachorro) - 2.27, kg",0.0,0.0,0.0,0,0,2,2,0,0,0,1,0,1,4,5,4,19,2.8,3.5,6,5.0,0.4,3,3,0,4.225,2.0,0.0,CB,4.0,6.0
Nestle,perro,Alimento,Pro Plan,PupPP1409,"Pro Plan Sensitive Skin Puppy Todas las Razas - 13, kg",0.0,0.0,0.0,0,1,2,0,1,1,1,0,2,2,2,1,0,13,1.4,1.75,1,0.6666666666666666,12.0,2,0,1,0.6124999999999999,8.0,0.0,AC,NA,8.0
nan,nan,nan,nan,PugFX6108,NA,NA,NA,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Virbac,dos,Higiene,Virbac,VipVB2020,"Nutriplus Gel - 120.5, g",0.0,0.0,0.0,0,0,0,0,0,1,1,4,1,0,2,3,2,14,1.6,2.0,3,2.6666666666666665,0.75,1,0,1,0.7,2.0,0.0,CC,2.0,4.0
Petgüel,perro,Alimento,Petgüel,PeAMi2136,Caserola de Pollo 500g - Unidad,0.0,0.0,0.0,0,0,0,0,3,0,0,2,0,1,1,2,2,11,1.2,1.5,2,2.0,0.0,0,0,0,0.5249999999999999,0.0,0.0,DC,NA,0.0
Nestle,perro,Alimento,Pro Plan,PupPP3427,"Pro Plan Reduced Calorie - 3, kg",0.0,0.0,0.0,0,2,1,0,0,0,1,1,1,1,0,1,1,9,0.8,1.0,1,1.0,1.0,0,0,0,0.35,1.0,0.0,CC,NA,1.0
Virbac,perro,Higiene,Virbac,VipVB2022,Veggiedent - S,0.0,0.0,0.0,0,0,1,0,1,1,2,1,2,3,2,3,4,20,2.8,3.5,2,3.0,1.0,0,0,0,1.2249999999999999,3.0,0.0,CB,0.0,3.0
Herrera & Elizondo,dos,Farmacia,BasicFarma,heBaBa44,"Baxidin Spray - 120, ml",0.0,0.0,0.0,0,0,0,1,2,0,1,1,3,0,3,2,0,13,1.6,2.0,2,1.3333333333333333,3.75,0,0,0,0.7,5.0,0.0,DC,NA,5.0
Philozoo CR,dos,Accesorios,Philozoo CR,PhpPZA1989,LICKING PAD - Menta,0.0,0.0,0.0,0,0,0,2,1,1,2,0,0,1,2,0,0,9,0.6,0.75,2,0.6666666666666666,1.5,1,0,1,0.26249999999999996,1.0,0.0,DC,NA,1.0
Nestle,perro,Alimento,Pro Plan,PupPP3436,"Pro Plan Adulto Sensitive Skin - 3, kg",0.0,0.0,0.0,0,0,2,0,0,0,2,1,0,0,1,0,3,9,0.8,1.0,0,1.0,1.0,1,0,0,0.35,1.0,0.0,CC,NA,1.0
VETIM SA,perro,Alimento,Prescription Diet,ScpSD31455,"Canine I/D Small Bites - 3.17, kg",0.0,0.0,0.0,0,0,0,1,0,0,2,2,5,4,2,8,2,26,4.2,5.25,5,5.0,0.6,5,1,3,2.8375,3.0,0.0,BB,NA,3.0
Yanyunis,perro,Alimento,Grizzly Salmon Plus,GrWMew1511,"Aceite Salmon - 237, ml",0.0,0.0,0.0,0,0,0,0,0,0,3,2,5,0,0,0,0,10,1.0,1.25,2,0.6666666666666666,7.5,1,0,1,0.4375,5.0,0.0,CC,NA,5.0
VETIM SA,perro,Farmacia,NutraProK10,Nupme2139,"K9 - 1, sobre",0.0,0.0,0.0,0,0,0,0,0,0,5,0,8,0,5,20,5,43,7.6,9.5,10,11.666666666666666,0.6857142857142857,0,0,0,3.3249999999999997,8.0,0.0,DA,NA,8.0
Corpeco,dos,Farmacia,Zoetis,ZodMe2164,"Apoquel - 16, mg",0.0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,22,0,0,27,4.4,5.5,0,0.0,NA,0,0,0,1.9249999999999998,33.0,0.0,CB,NA,33.0
Monteco,dos,Farmacia,Holliday,HodMe2172,Relay C - Tableta,0.0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,12,17,2.4,3.0,0,4.0,3.25,0,0,0,1.0499999999999998,13.0,0.0,DD,0.0,13.0
nan,nan,nan,nan,RupRW91122,NA,NA,NA,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,dos,Higiene,Tropiclean,TrTC11844,"Champú En Seco Hipoalergénico De Coco Para Perros Y Gatos - 220, ml",0.0,0.0,0.0,0,0,1,0,1,1,0,2,0,1,2,1,3,12,1.4,1.75,0,1.3333333333333333,2.25,0,0,0,0.6124999999999999,3.0,0.0,CC,NA,3.0
nan,nan,nan,nan,ChpClA1723,NA,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,perro,Higiene,Tropiclean,TrTC11843,"Champú De Frutos Rojos Limpieza Profunda - 355, ml",NA,NA,1.0,2,0,0,1,0,0,0,0,1,0,0,1,0,6,0.4,0.5,0,0.3333333333333333,0.0,0,0,0,0.175,0.0,0.0,DD,NA,0.0
Mundo Pet,perro,Accesorios,MPets,MPpMPA1717,Jupiter Ball L - L,NA,NA,NA,1,0,0,1,0,1,1,1,0,5,0,2,0,12,1.4,1.75,0,0.6666666666666666,3.0,0,0,0,0.6124999999999999,2.0,0.0,DC,NA,2.0
Herrera & Elizondo,perro,Farmacia,Nexdgard,NepNX1989,"2 a 4kg (Naranja) - 68, g",0.0,0.0,0.0,0,0,1,1,2,0,0,0,2,2,1,2,6,17,2.6,3.25,4,4.0,6.25,3,2,0,3.1375,25.0,0.0,CC,NA,25.0
OKAP,perro,Accesorios,OKAP,OKpOK3946,Twist - S,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0,0.0,1,0.3333333333333333,3.0,0,0,0,0.0,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,FlFTA1825,NA,0.0,0.0,0.0,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0, ,NA,0.0
Mundo Pet,perro,Accesorios,MPets,MPpMP81332Mo,Juguete Hueso Júpiter Transparente - Morado,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0,DD,NA,2.0
Yanyunis,perro,Alimento,PREY,TapPR3151,"Prey Turkey (Pavo) - 4, kg",1.0,NA,NA,0,0,1,0,0,1,0,0,0,0,1,0,1,5,0.4,0.5,1,0.6666666666666666,3.0,1,1,0,1.175,2.0,0.0,DD,NA,2.0
Provetcre,perro,Alimento,Instinct,InpIT2860,"Receta Original de Conejo - 9.09, kg",NA,NA,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0,DD,NA,0.0
BELINA,perro,Alimento,Balance,BapBA2387,"Piel y Pelo - 9.07, kg",0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,1,1,2,1,8,1.2,1.5,2,1.6666666666666667,1.2,1,0,1,0.5249999999999999,2.0,0.0,CC,0.0,2.0
Nestle,gato,Alimento,Fancy Feast,PugFF497,"Alimento Húmedo En Lata Turkey Chunky - 85, g",0.0,0.0,0.0,0,0,0,0,0,5,3,1,0,8,7,11,7,42,6.6,8.25,2,6.666666666666667,2.25,2,2,0,4.887499999999999,15.0,0.0,DA,NA,15.0
Virbac,perro,Alimento,Virbac,VipVC11708,"Dermatology Support - 12, kg",NA,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0,BD,0.0,2.0
Herrera & Elizondo,dos,Farmacia,Unimedical,heUnCa92,"CardioVet 10 (RRM) - 30, tab",0.0,0.0,0.0,0,0,1,0,2,6,1,0,0,0,1,0,6,17,1.4,1.75,0,2.0,3.5,0,0,0,0.6124999999999999,7.0,0.0,CB,NA,7.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW1147,"Tow Ancient Stream (Salmón Ahumado) - 12.7, kg",NA,NA,1.0,0,1,0,0,0,1,0,2,0,0,2,0,1,8,0.6,0.75,0,0.3333333333333333,6.0,1,0,0,0.26249999999999996,2.0,0.0,BC,NA,2.0
VETIM SA,gato,Alimento,Science Diet,ScgSD31583,"Adult Hairball Control - 1.5, kg",1.0,NA,NA,0,0,0,0,0,0,1,2,1,0,0,0,1,6,0.4,0.5,0,0.3333333333333333,9.0,0,0,0,0.175,3.0,0.0,CD,NA,3.0
Suplidora Royal,gato,Alimento,Royal Canin,RogRC31433,"Maine Coon Adulto - 4, kg",NA,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.4,0.5,0,0.6666666666666666,0.0,0,0,0,0.175,0.0,0.0,DD,NA,0.0
Herrera & Elizondo,perro,Alimento,1st CHOICE,1spFC2815,"Perro Adulto Mant. Piel y Pelo Sensible (Cordero) - 7, kg",0.0,0.0,0.0,0,0,1,0,1,1,2,0,2,1,2,3,3,16,2.2,2.75,2,2.6666666666666665,0.75,2,1,0,1.9625,2.0,0.0,BC,NA,2.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1778,Brain Freeze - Unica,0.0,0.0,0.0,1,0,0,1,0,1,2,0,0,1,0,1,0,7,0.4,0.5,1,0.6666666666666666,0.0,0,0,0,0.175,0.0,0.0,DC,3.0,3.0
TechnoVet,perro,Alimento,Petilicious,PepPSA1813,"Salsa Petilicious para aumentar el sabor de la dieta - 220, g",0.0,0.0,0.0,0,1,1,0,1,0,0,1,6,0,6,0,2,18,2.8,3.5,4,2.0,3.0,1,1,0,2.2249999999999996,6.0,0.0,DB,NA,6.0
nan,nan,nan,nan,ZipZP3568,NA,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW2119,"Pacific Stream (Salmón Ahumado) - 6.4, kg",0.0,0.0,0.0,0,0,1,1,0,0,1,1,1,2,3,1,2,13,1.8,2.25,3,2.0,2.0,3,2,1,2.7875,4.0,0.0,BC,NA,4.0
BELINA,perro,Alimento,NutriSource,NupNS2296,"Lamb Meal And Rice (Cordero y Arroz) - 6.8, kg",0.0,0.0,0.0,0,0,1,0,0,2,1,2,2,3,3,3,6,23,3.4,4.25,4,4.333333333333333,0.9230769230769231,6,2,3,3.4875,4.0,0.0,BB,0.0,4.0
Philozoo CR,dos,Accesorios,Philozoo CR,PhpPZA1986,LICKING PAD - Rosado,0.0,0.0,0.0,0,0,1,0,0,2,3,0,0,0,2,0,0,8,0.4,0.5,3,1.0,1.0,0,0,0,0.175,1.0,0.0,DC,NA,1.0
Mundo Pet,perro,Alimento,Waldo,WapWD51888,"Treats Biscuits - 150, g",0.0,0.0,0.0,0,1,0,1,0,0,1,0,3,1,1,3,2,13,2.0,2.5,4,3.0,1.3333333333333333,0,0,0,0.875,4.0,0.0,DC,NA,4.0
Mundo Pet,perro,Alimento,Natural Wild,NapNW51716,Hueso Natural - 4-5,0.0,0.0,0.0,0,0,0,0,0,2,2,2,3,0,2,0,0,11,1.0,1.25,0,0.0,NA,0,0,0,0.4375,0.0,0.0,DC,NA,0.0
Cat & Dog Company,perro,Higiene,Cat & Dog Company,CapCD11698,"Shampoo Carbón Activado Y Limón - 250, ml",0.0,0.0,0.0,1,0,0,1,0,1,0,2,2,0,1,0,0,8,0.6,0.75,1,0.3333333333333333,3.0,1,1,0,1.2625,1.0,0.0,DC,NA,1.0
Nestle,gato,Alimento,Cat Chow,PugCH219,"Adultos (Pescado) - 9, kg",NA,1.0,NA,0,1,1,1,0,1,0,0,0,1,1,1,0,8,0.6,0.75,0,0.3333333333333333,3.0,1,0,1,0.26249999999999996,1.0,0.0,CC,NA,1.0
VETIM SA,perro,Alimento,Science Diet,ScpSD31554,"Senior 7+ Small Bites Chicken Meal, Barley & Rice - 2.26, kg",NA,NA,NA,1,0,1,0,0,0,0,2,4,0,2,2,2,14,2.0,2.5,2,2.0,0.5,1,1,0,1.875,1.0,0.0,CC,NA,1.0
Yanyunis,gato,Alimento,Taste Of the Wild,TagTW3206,"Canyon River (Trucha y Salmón Ahumado) - 2.3, kg",0.0,0.0,0.0,0,1,0,0,1,1,1,1,4,2,1,1,3,16,2.2,2.75,2,2.0,3.0,0,0,0,0.9624999999999999,6.0,0.0,CC,NA,6.0
Herrera & Elizondo,dos,Farmacia,Unimedical,heUnOt93,"Otoderm Gotas - 15, ml",0.0,0.0,0.0,0,1,0,1,1,0,1,0,1,1,0,0,2,8,0.8,1.0,1,1.0,2.0,0,0,0,0.35,2.0,0.0,DD,NA,2.0
VETIM SA,perro,Alimento,Prescription Diet,ScpSD31456,"i/d® Canine - 3.86, kg",0.0,0.0,0.0,0,0,0,1,1,1,2,0,0,0,0,0,0,5,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0,CD,NA,2.0
nan,nan,nan,nan,PepPEA1803,NA,0.0,0.0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,ZepZDA1746,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
Corpeco,dos,Farmacia,Calox,CadMe2147,Meloxicam 2mg - Tableta,0.0,0.0,0.0,0,0,0,0,0,5,0,4,15,0,3,13,4,44,7.0,8.75,0,5.666666666666667,43.41176470588235,17,17,0,20.0625,246.0,0.0,DA,NA,246.0
Petgüel,perro,Alimento,Petgüel,PeAMi2134P,Caserola de Carne 500g - 2Pack,0.0,0.0,0.0,0,0,0,0,0,4,0,4,1,0,0,1,1,11,0.6,0.75,0,0.6666666666666666,-1.5,0,0,0,0.26249999999999996,-1.0,0.0,DC,NA,-1.0
Nestle,perro,Alimento,Pro Plan,PupPP2418,"Pro Plan Cachorros Razas Pequeñas - 7.5, kg",NA,NA,1.0,0,0,0,0,1,2,1,1,0,1,1,0,1,9,0.6,0.75,0,0.3333333333333333,15.0,0,0,0,0.26249999999999996,5.0,0.0,CC,NA,5.0
BELINA,perro,Alimento,NutriSource,NupNS2284,"S and M Puppy Chicken And Rice (Pollo y Arroz Cachorro) - 6.8, kg",NA,NA,NA,1,0,0,1,1,0,0,1,3,2,3,2,2,16,2.4,3.0,3,2.3333333333333335,1.2857142857142856,4,0,2,1.0499999999999998,3.0,0.0,BC,0.0,3.0
VETIM SA,gato,Alimento,Science Diet,ScgSD31577,"Kitten Chicken - 3.18, kg",0.0,0.0,0.0,0,0,0,0,1,1,1,2,3,1,2,2,2,15,2.0,2.5,7,3.6666666666666665,1.3636363636363638,1,1,0,1.875,5.0,0.0,BC,NA,5.0
Mundo Pet,perro,Alimento,Old Prince,OlpOPA1814,"Adulto Razas Medianas Y Grandes (Cordero) - 3, kg",0.0,0.0,0.0,0,0,0,0,1,2,2,1,0,1,2,2,0,11,1.0,1.25,2,1.3333333333333333,2.25,2,1,1,1.4375,3.0,0.0,DD,NA,3.0
Herrera & Elizondo,perro,Farmacia,Merial,heMeHe80,23kg a 45kg - Tableta,0.0,0.0,0.0,0,0,0,1,0,1,1,2,1,5,1,3,2,17,2.4,3.0,1,2.0,2.0,1,1,0,2.05,4.0,0.0,CC,NA,4.0
Philozoo CR,dos,Accesorios,Philozoo CR,PhpPZA1995,Cama Puff,0.0,0.0,0.0,0,0,0,1,1,0,0,2,0,0,1,0,0,5,0.2,0.25,0,0.0,NA,0,0,0,0.0875,1.0,0.0,CD,NA,1.0
Nestle,gato,Alimento,Felix,PugFXP2127,Alimento Húmedo Pescado Blanco - 85 g - 6Pack,0.0,0.0,0.0,0,0,0,0,0,1,1,3,0,0,2,1,9,17,2.4,3.0,8,6.0,1.1666666666666667,2,2,0,3.05,7.0,0.0,DC,NA,7.0
VETIM SA,gato,Farmacia,Viyo,VigMe2183,"Fortalece Gato - 30, ml",0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0.0,0.0,6,2.0,16.0,3,0,0,0.0,32.0,0.0,DD,NA,32.0
VETIM SA,gato,Alimento,Science Diet,ScgSD31588,"Senior 7+ Chicken - 1.81, kg",0.0,0.0,0.0,0,0,0,2,0,0,1,1,0,1,0,1,1,7,0.6,0.75,0,0.6666666666666666,3.0,0,0,0,0.26249999999999996,2.0,0.0,CC,NA,2.0
Virbac,perro,Alimento,Virbac,VipVC31326,"Dog Kidney Support - 3, kg",0.0,0.0,0.0,0,0,0,0,0,1,2,2,2,3,1,0,0,11,1.2,1.5,0,0.0,NA,0,0,0,0.5249999999999999,2.0,0.0,CC,0.0,2.0
Ayurveda,dos,Farmacia,Himalaya,AyHiDI143,"Digyton - 30, ml",0.0,0.0,0.0,0,0,0,0,1,1,2,1,2,7,9,2,4,29,4.8,6.0,4,3.3333333333333335,1.2,1,0,1,2.0999999999999996,4.0,0.0,CB,NA,4.0
BELINA,perro,Alimento,Pure Vita,NupPV1261,"Salmon And Potato - 11.34, kg",0.0,0.0,0.0,0,0,1,0,0,0,2,1,2,1,1,0,0,8,0.8,1.0,2,0.6666666666666666,3.0,2,0,1,0.35,2.0,0.0,BC,0.0,2.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW2123,"Pacific Stream Puppy (Salmón Ahumado) - 6.4, kg",0.0,0.0,0.0,0,1,0,0,0,1,0,1,1,0,1,0,0,5,0.4,0.5,0,0.0,NA,1,0,1,0.175,3.0,0.0,CD,NA,3.0
Nestle,perro,Alimento,Pro Plan,PupPP1405,"Pro Plan Sensitive Skin Adult Razas Medianas y Grandes - 13, kg",0.0,0.0,0.0,0,0,0,0,0,1,2,1,2,0,3,2,4,15,2.2,2.75,2,2.6666666666666665,0.75,2,1,1,1.9625,2.0,0.0,BC,NA,2.0
Nestle,perro,Alimento,Pro Plan,PupPP2421,"Pro Plan Adulto Razas Pequeñas - 7.5, kg",0.0,0.0,0.0,0,0,0,0,1,1,1,1,2,2,2,2,4,16,2.4,3.0,1,2.3333333333333335,2.142857142857143,2,1,0,2.05,5.0,0.0,BC,NA,5.0
nan,nan,nan,nan,RupRW81194,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,FlFTA1826,NA,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,perro,Higiene,Tropiclean,TrTC11832,"Gel Antiplaca y Sarro para Perro - 59, ml",NA,NA,1.0,0,0,1,0,0,1,0,1,2,1,0,2,1,10,1.2,1.5,2,1.6666666666666667,0.0,0,0,0,0.5249999999999999,0.0,0.0,CC,NA,0.0
